time_sec,timestamp_utc,role,mmsi,name,x_nm,y_nm,lat,lon,sog_kn,cog_deg,heading_deg,message_type,expected_level,computed_level,cpa_nm,tcpa_sec,source,raw_aivdm,rx_signalpower_db,rx_ppm,rx_timestamp_raw,ship_type,aton_type,aton_virtual,aton_off_position
0.0,,own,999181101,HELGE INGSTAD,-0.9261382470294572,2.123655372792763,60.67706092287988,4.833516051189261,16.9,158,158,18,,,,,aibn_source_informed_model,,,,,35,,False,False
0.0,,target,999181102,SOLA TS,0.17963495581658037,-0.8362453671980646,60.62772924388003,4.871106666873644,3.7353846154,345.8,350,18,,caution,0.005813899119428803,551.9916270207087,aibn_source_informed_model,,,,,80,,False,False
1.0,,own,999181101,HELGE INGSTAD,-0.9243795653054965,2.11930276609515,60.67698837943492,4.833575837344891,16.90025906735751,157.99740932642487,157.99740932642487,18,,,,,aibn_source_informed_model,,,,,35,,False,False
1.0,,target,999181102,SOLA TS,0.17938011918224908,-0.8352382626249579,60.62774602895625,4.871098003735526,3.744307692323019,345.8,350.0,18,,caution,0.00577977529711117,550.74800003939,aibn_source_informed_model,,,,,80,,False,False
2.0,,own,999181101,HELGE INGSTAD,-0.9226206598144129,2.1149501722009116,60.67691583620335,4.833635631107454,16.900518134715025,157.99481865284974,157.99481865284974,18,,,,,aibn_source_informed_model,,,,,35,,False,False
2.0,,target,999181102,SOLA TS,0.1791246745210639,-0.8342287551531207,60.62776285408078,4.871089319927614,3.753230769246038,345.8,350.0,18,,caution,0.00574574690741168,549.5050306041974,aibn_source_informed_model,,,,,80,,False,False
3.0,,own,999181101,HELGE INGSTAD,-0.9208615305537687,2.1105975911213855,60.67684329318536,4.833695432477035,16.900777202072536,157.99222797927462,157.99222797927462,18,,,,,aibn_source_informed_model,,,,,35,,False,False
3.0,,target,999181102,SOLA TS,0.17886862183302485,-0.833216844782553,60.627779719253624,4.871080615449909,3.7621538461690567,345.8,350.0,18,,caution,0.005711813811026596,548.2627178405705,aibn_source_informed_model,,,,,80,,False,False
4.0,,own,999181101,HELGE INGSTAD,-0.9191021775211269,2.1062450228679084,60.67677075038113,4.833755241453716,16.90103626943005,157.9896373056995,157.9896373056995,18,,,,,aibn_source_informed_model,,,,,35,,False,False
4.0,,target,999181102,SOLA TS,0.1786119611181319,-0.8322025315132547,60.627796624474776,4.87107189030241,3.7710769230920755,345.8,350.0,18,,caution,0.005677975868894416,547.0210608754968,aibn_source_informed_model,,,,,80,,False,False
