time_sec,timestamp_utc,role,mmsi,name,x_nm,y_nm,lat,lon,sog_kn,cog_deg,heading_deg,message_type,expected_level,computed_level,cpa_nm,tcpa_sec,source,raw_aivdm,rx_signalpower_db,rx_ppm,rx_timestamp_raw,ship_type,aton_type,aton_virtual,aton_off_position
0.0,,own,999170601,USS FITZGERALD,1.3429764630769527,5.008333333333184,34.60513888888889,139.09883333333335,19.8,187.7,187.7,18,,,,,jtsb_arpa_fix_heading_proxy,,,,,35,,False,False
0.0,,target,999170602,ACX CRYSTAL,-4.397401118190107,-1.2783333333334213,34.50036111111111,138.98271296296295,18.4,87.48333333333333,85.0,18,,safe,0.5104735515845095,1043.2852301836117,jtsb_ais_interpolated,,,,,70,,False,False
0.0,,target,999170603,WAN HAI 266,-4.406464149536318,0.550166666666378,34.53083611111111,138.98252962962962,16.4,92.0,92.0,18,,safe,0.9142394874427084,964.6797566820383,jtsb_ais_interpolated,,,,,70,,False,False
1.0,,own,999170601,USS FITZGERALD,1.3421525511364114,5.002958333333186,34.60504930555555,139.0988166666667,19.796666666666667,187.7108333333333,187.7108333333333,18,,,,,jtsb_arpa_interpolated_heading_proxy,,,,,35,,False,False
1.0,,target,999170602,ACX CRYSTAL,-4.392324489061559,-1.2780303030303939,34.500366161616164,138.98281565656566,18.4,87.47272727272727,85.0,18,,safe,0.5112226917730864,1042.2052379268662,jtsb_ais_interpolated,,,,,70,,False,False
1.0,,target,999170603,WAN HAI 266,-4.401978406748956,0.5499999999997129,34.530833333333334,138.98262037037037,16.4,92.0,92.0,18,,safe,0.9128287774519237,963.7221159690952,jtsb_ais_interpolated,,,,,70,,False,False
2.0,,own,999170601,USS FITZGERALD,1.34132863919587,4.997583333333189,34.60495972222222,139.0988,19.793333333333333,187.72166666666666,187.72166666666666,18,,,,,jtsb_arpa_interpolated_heading_proxy,,,,,35,,False,False
2.0,,target,999170602,ACX CRYSTAL,-4.387247859933011,-1.2777272727273663,34.50037121212121,138.98291835016835,18.4,87.4621212121212,85.0,18,,safe,0.5119700798629906,1041.1254410181957,jtsb_ais_interpolated,,,,,70,,False,False
2.0,,target,999170603,WAN HAI 266,-4.397492663961593,0.5498333333330478,34.53083055555555,138.9827111111111,16.4,92.0,92.0,18,,safe,0.911420911377976,962.7644235607257,jtsb_ais_interpolated,,,,,70,,False,False
3.0,,own,999170601,USS FITZGERALD,1.3405047272553288,4.992208333333192,34.60487013888889,139.09878333333336,19.79,187.7325,187.7325,18,,,,,jtsb_arpa_interpolated_heading_proxy,,,,,35,,False,False
3.0,,target,999170602,ACX CRYSTAL,-4.382171230804464,-1.277424242424339,34.50037626262626,138.98302104377103,18.4,87.45151515151515,85.0,18,,safe,0.5127157170707333,1040.045839280126,jtsb_ais_interpolated,,,,,70,,False,False
